DateTime,Tempc
6/15/2022 19:33,20.6
6/15/2022 20:03,20.1
6/15/2022 20:33,20.1
6/15/2022 21:03,19.1
6/15/2022 21:33,18.6
6/15/2022 22:03,18.6
6/15/2022 22:33,18.1
6/15/2022 23:03,18.1
6/15/2022 23:33,18.1
6/16/2022 0:03,18.1
6/16/2022 0:33,18.1
6/16/2022 1:03,17.6
6/16/2022 1:33,18.1
6/16/2022 2:03,18.6
6/16/2022 2:33,19.1
6/16/2022 3:03,19.1
6/16/2022 3:33,19.1
6/16/2022 4:03,19.1
6/16/2022 4:33,19.1
6/16/2022 5:03,19.1
6/16/2022 5:33,19.1
6/16/2022 6:03,19.1
6/16/2022 6:33,19.1
6/16/2022 7:03,19.6
6/16/2022 7:33,19.6
6/16/2022 8:03,20.1
6/16/2022 8:33,21.1
6/16/2022 9:03,20.6
6/16/2022 9:33,22.1
6/16/2022 10:03,23.1
6/16/2022 10:33,21.1
6/16/2022 11:03,21.1
6/16/2022 11:33,22.6
6/16/2022 12:03,23.6
6/16/2022 12:33,22.6
6/16/2022 13:03,22.6
6/16/2022 13:33,22.6
6/16/2022 14:03,23.6
6/16/2022 14:33,24.6
6/16/2022 15:03,24.6
6/16/2022 15:33,23.6
6/16/2022 16:03,23.6
6/16/2022 16:33,23.1
6/16/2022 17:03,23.6
6/16/2022 17:33,23.6
6/16/2022 18:03,23.1
6/16/2022 18:33,22.6
6/16/2022 19:03,21.6
6/16/2022 19:33,20.1
6/16/2022 20:03,19.6
6/16/2022 20:33,19.1
6/16/2022 21:03,19.1
6/16/2022 21:33,19.1
6/16/2022 22:03,19.1
6/16/2022 22:33,19.1
6/16/2022 23:03,19.1
6/16/2022 23:33,19.6
6/17/2022 0:03,19.6
6/17/2022 0:33,19.6
6/17/2022 1:03,19.6
6/17/2022 1:33,19.6
6/17/2022 2:03,19.1
6/17/2022 2:33,19.1
6/17/2022 3:03,19.6
6/17/2022 3:33,19.6
6/17/2022 4:03,19.6
6/17/2022 4:33,19.6
6/17/2022 5:03,19.1
6/17/2022 5:33,19.6
6/17/2022 6:03,19.6
6/17/2022 6:33,19.6
6/17/2022 7:03,19.6
6/17/2022 7:33,20.1
6/17/2022 8:03,20.6
6/17/2022 8:33,20.1
6/17/2022 9:03,20.6
6/17/2022 9:33,21.6
6/17/2022 10:03,23.6
6/17/2022 10:33,23.1
6/17/2022 11:03,23.1
6/17/2022 11:33,22.6
6/17/2022 12:03,22.6
6/17/2022 12:33,24.1
6/17/2022 13:03,24.6
6/17/2022 13:33,22.1
6/17/2022 14:03,22.1
6/17/2022 14:33,21.6
6/17/2022 15:03,22.1
6/17/2022 15:33,23.6
6/17/2022 16:03,24.1
6/17/2022 16:33,23.6
6/17/2022 17:03,22.6
6/17/2022 17:33,22.1
6/17/2022 18:03,21.6
6/17/2022 18:33,21.6
6/17/2022 19:03,21.1
6/17/2022 19:33,20.6
6/17/2022 20:03,20.1
6/17/2022 20:33,19.6
6/17/2022 21:03,19.6
6/17/2022 21:33,18.6
6/17/2022 22:03,18.6
6/17/2022 22:33,16.6
6/17/2022 23:03,15.6
6/17/2022 23:33,15.6
6/18/2022 0:03,14.6
6/18/2022 0:33,13.1
6/18/2022 1:03,12.1
6/18/2022 1:33,10.1
6/18/2022 2:03,10.1
6/18/2022 2:33,9.6
6/18/2022 3:03,9.1
6/18/2022 3:33,9.1
6/18/2022 4:03,9.1
6/18/2022 4:33,9.1
6/18/2022 5:03,9.1
6/18/2022 5:33,9.1
6/18/2022 6:03,9.1
6/18/2022 6:33,9.1
