"DateTime","TemperatureC","Group","Tempc"
NA,-14,"Site_11_2_3_U_May_8.csv",-14
NA,-14.5,"Site_11_2_3_U_May_8.csv",-14.5
NA,-14.5,"Site_11_2_3_U_May_8.csv",-14.5
NA,-14.5,"Site_11_2_3_U_May_8.csv",-14.5
NA,-15,"Site_11_2_3_U_May_8.csv",-15
NA,-15.5,"Site_11_2_3_U_May_8.csv",-15.5
NA,-15.5,"Site_11_2_3_U_May_8.csv",-15.5
NA,-15.5,"Site_11_2_3_U_May_8.csv",-15.5
NA,-16,"Site_11_2_3_U_May_8.csv",-16
NA,-17,"Site_11_2_3_U_May_8.csv",-17
NA,-16,"Site_11_2_3_U_May_8.csv",-16
NA,-16,"Site_11_2_3_U_May_8.csv",-16
NA,-16.5,"Site_11_2_3_U_May_8.csv",-16.5
NA,-16.5,"Site_11_2_3_U_May_8.csv",-16.5
NA,-17,"Site_11_2_3_U_May_8.csv",-17
NA,-16,"Site_11_2_3_U_May_8.csv",-16
NA,-15,"Site_11_2_3_U_May_8.csv",-15
NA,-14,"Site_11_2_3_U_May_8.csv",-14
NA,-12,"Site_11_2_3_U_May_8.csv",-12
NA,-9.5,"Site_11_2_3_U_May_8.csv",-9.5
NA,-9,"Site_11_2_3_U_May_8.csv",-9
NA,-5.5,"Site_11_2_3_U_May_8.csv",-5.5
NA,-4.5,"Site_11_2_3_U_May_8.csv",-4.5
NA,-5,"Site_11_2_3_U_May_8.csv",-5
NA,0.1,"Site_11_2_3_U_May_8.csv",0.1
NA,-2,"Site_11_2_3_U_May_8.csv",-2
NA,-3.5,"Site_11_2_3_U_May_8.csv",-3.5
NA,-3,"Site_11_2_3_U_May_8.csv",-3
NA,-3,"Site_11_2_3_U_May_8.csv",-3
NA,-3,"Site_11_2_3_U_May_8.csv",-3
NA,-3,"Site_11_2_3_U_May_8.csv",-3
NA,-3,"Site_11_2_3_U_May_8.csv",-3
NA,-3.5,"Site_11_2_3_U_May_8.csv",-3.5
NA,-3.5,"Site_11_2_3_U_May_8.csv",-3.5
NA,-4,"Site_11_2_3_U_May_8.csv",-4
NA,-4,"Site_11_2_3_U_May_8.csv",-4
NA,-4.5,"Site_11_2_3_U_May_8.csv",-4.5
NA,-4.5,"Site_11_2_3_U_May_8.csv",-4.5
NA,-5,"Site_11_2_3_U_May_8.csv",-5
NA,-5,"Site_11_2_3_U_May_8.csv",-5
NA,-5,"Site_11_2_3_U_May_8.csv",-5
NA,-5,"Site_11_2_3_U_May_8.csv",-5
NA,-5,"Site_11_2_3_U_May_8.csv",-5
NA,-5,"Site_11_2_3_U_May_8.csv",-5
NA,-5.5,"Site_11_2_3_U_May_8.csv",-5.5
NA,-5.5,"Site_11_2_3_U_May_8.csv",-5.5
NA,-5.5,"Site_11_2_3_U_May_8.csv",-5.5
NA,-5.5,"Site_11_2_3_U_May_8.csv",-5.5
NA,-5.5,"Site_11_2_3_U_May_8.csv",-5.5
NA,-5.5,"Site_11_2_3_U_May_8.csv",-5.5
NA,-5.5,"Site_11_2_3_U_May_8.csv",-5.5
NA,-5.5,"Site_11_2_3_U_May_8.csv",-5.5
NA,-5.5,"Site_11_2_3_U_May_8.csv",-5.5
NA,-5.5,"Site_11_2_3_U_May_8.csv",-5.5
NA,-5.5,"Site_11_2_3_U_May_8.csv",-5.5
NA,-5.5,"Site_11_2_3_U_May_8.csv",-5.5
NA,-6,"Site_11_2_3_U_May_8.csv",-6
NA,-6.5,"Site_11_2_3_U_May_8.csv",-6.5
NA,-7,"Site_11_2_3_U_May_8.csv",-7
NA,-7,"Site_11_2_3_U_May_8.csv",-7
NA,-7.5,"Site_11_2_3_U_May_8.csv",-7.5
