"Name..SCP_1.csv........."
"User Name	,,,,,,,,,"
"Description:,,,,,,,,,"
"	,,,,,,,,,"
"Start Time:,11/17/2021 15:20,,,,,,,,"
"End Time:,11/17/2021 15:57,,,,,,,,"
"Elapsed Time:,00000Day00:36:54,,,,,,,,"
"Interval:,1 sec,,,,,,,,"
"Data Number:,2215,,,,,,,,"
",,,,,,,,,"
"No.,Data,Time,ID.,CH 1,Type,Unit,CH 2,Type,Unit"
"123,11/17/2021,15:22:27,0,-17.2,K,Deg-C,-17.2,K,Deg-C"
"124,11/17/2021,15:22:28,0,-17.2,K,Deg-C,-17.2,K,Deg-C"
"125,11/17/2021,15:22:29,0,-17.2,K,Deg-C,-17.2,K,Deg-C"
"126,11/17/2021,15:22:30,0,-17.2,K,Deg-C,-17.2,K,Deg-C"
"127,11/17/2021,15:22:31,0,-17.2,K,Deg-C,-17.2,K,Deg-C"
"128,11/17/2021,15:22:32,0,-17.2,K,Deg-C,-17.2,K,Deg-C"
"129,11/17/2021,15:22:33,0,-17.2,K,Deg-C,-17.2,K,Deg-C"
"130,11/17/2021,15:22:34,0,-17.3,K,Deg-C,-17.2,K,Deg-C"
"131,11/17/2021,15:22:35,0,-17.3,K,Deg-C,-17.2,K,Deg-C"
"132,11/17/2021,15:22:36,0,-17.3,K,Deg-C,-17.3,K,Deg-C"
"133,11/17/2021,15:22:37,0,-17.3,K,Deg-C,-17.3,K,Deg-C"
"134,11/17/2021,15:22:38,0,-17.3,K,Deg-C,-17.3,K,Deg-C"
"135,11/17/2021,15:22:39,0,-17.3,K,Deg-C,-17.3,K,Deg-C"
"136,11/17/2021,15:22:40,0,-17.3,K,Deg-C,-17.3,K,Deg-C"
"137,11/17/2021,15:22:41,0,-17.3,K,Deg-C,-17.3,K,Deg-C"
"138,11/17/2021,15:22:42,0,-17.3,K,Deg-C,-17.3,K,Deg-C"
"139,11/17/2021,15:22:43,0,-17.3,K,Deg-C,-17.3,K,Deg-C"
"140,11/17/2021,15:22:44,0,-17.4,K,Deg-C,-17.3,K,Deg-C"
"141,11/17/2021,15:22:45,0,-17.4,K,Deg-C,-17.3,K,Deg-C"
"142,11/17/2021,15:22:46,0,-17.4,K,Deg-C,-17.3,K,Deg-C"
"143,11/17/2021,15:22:47,0,-17.4,K,Deg-C,-17.3,K,Deg-C"
"144,11/17/2021,15:22:48,0,-17.4,K,Deg-C,-17.3,K,Deg-C"
"145,11/17/2021,15:22:49,0,-17.4,K,Deg-C,-17.4,K,Deg-C"
"146,11/17/2021,15:22:50,0,-17.4,K,Deg-C,-17.4,K,Deg-C"
"147,11/17/2021,15:22:51,0,-17.4,K,Deg-C,-17.4,K,Deg-C"
"148,11/17/2021,15:22:52,0,-17.4,K,Deg-C,-17.4,K,Deg-C"
"149,11/17/2021,15:22:53,0,-17.5,K,Deg-C,-17.4,K,Deg-C"
"150,11/17/2021,15:22:54,0,-17.5,K,Deg-C,-17.4,K,Deg-C"
"151,11/17/2021,15:22:55,0,-17.5,K,Deg-C,-17.4,K,Deg-C"
"152,11/17/2021,15:22:56,0,-17.5,K,Deg-C,-17.4,K,Deg-C"
"153,11/17/2021,15:22:57,0,-17.5,K,Deg-C,-17.4,K,Deg-C"
"154,11/17/2021,15:22:58,0,-17.5,K,Deg-C,-17.4,K,Deg-C"
"155,11/17/2021,15:22:59,0,-17.6,K,Deg-C,-17.4,K,Deg-C"
"156,11/17/2021,15:23:00,0,-17.6,K,Deg-C,-17.4,K,Deg-C"
"157,11/17/2021,15:23:01,0,-17.6,K,Deg-C,-17.5,K,Deg-C"
"158,11/17/2021,15:23:02,0,-17.6,K,Deg-C,-17.5,K,Deg-C"
"159,11/17/2021,15:23:03,0,-17.6,K,Deg-C,-17.5,K,Deg-C"
"160,11/17/2021,15:23:04,0,-17.6,K,Deg-C,-17.5,K,Deg-C"
"161,11/17/2021,15:23:05,0,-17.6,K,Deg-C,-17.5,K,Deg-C"
"162,11/17/2021,15:23:06,0,-17.6,K,Deg-C,-17.5,K,Deg-C"
"163,11/17/2021,15:23:07,0,-17.7,K,Deg-C,-17.5,K,Deg-C"
"164,11/17/2021,15:23:08,0,-17.7,K,Deg-C,-17.5,K,Deg-C"
"165,11/17/2021,15:23:09,0,-17.7,K,Deg-C,-17.5,K,Deg-C"
"166,11/17/2021,15:23:10,0,-17.7,K,Deg-C,-17.5,K,Deg-C"
"167,11/17/2021,15:23:11,0,-17.7,K,Deg-C,-17.5,K,Deg-C"
"168,11/17/2021,15:23:12,0,-17.7,K,Deg-C,-17.6,K,Deg-C"
"169,11/17/2021,15:23:13,0,-17.8,K,Deg-C,-17.6,K,Deg-C"
"170,11/17/2021,15:23:14,0,-17.8,K,Deg-C,-17.6,K,Deg-C"
"171,11/17/2021,15:23:15,0,-17.7,K,Deg-C,-17.6,K,Deg-C"
"172,11/17/2021,15:23:16,0,-17.7,K,Deg-C,-17.6,K,Deg-C"
"173,11/17/2021,15:23:17,0,-17.8,K,Deg-C,-17.6,K,Deg-C"
"174,11/17/2021,15:23:18,0,-17.8,K,Deg-C,-17.6,K,Deg-C"
"175,11/17/2021,15:23:19,0,-17.8,K,Deg-C,-17.6,K,Deg-C"
"176,11/17/2021,15:23:20,0,-17.8,K,Deg-C,-17.6,K,Deg-C"
"177,11/17/2021,15:23:21,0,-17.8,K,Deg-C,-17.6,K,Deg-C"
"178,11/17/2021,15:23:22,0,-17.8,K,Deg-C,-17.6,K,Deg-C"
"179,11/17/2021,15:23:23,0,-17.8,K,Deg-C,-17.7,K,Deg-C"
"180,11/17/2021,15:23:24,0,-17.8,K,Deg-C,-17.7,K,Deg-C"
"181,11/17/2021,15:23:25,0,-17.8,K,Deg-C,-17.7,K,Deg-C"
"182,11/17/2021,15:23:26,0,-17.8,K,Deg-C,-17.7,K,Deg-C"
"183,11/17/2021,15:23:27,0,-17.8,K,Deg-C,-17.7,K,Deg-C"
"184,11/17/2021,15:23:28,0,-17.9,K,Deg-C,-17.7,K,Deg-C"
"185,11/17/2021,15:23:29,0,-17.9,K,Deg-C,-17.7,K,Deg-C"
"186,11/17/2021,15:23:30,0,-17.9,K,Deg-C,-17.7,K,Deg-C"
"187,11/17/2021,15:23:31,0,-17.9,K,Deg-C,-17.7,K,Deg-C"
"188,11/17/2021,15:23:32,0,-17.9,K,Deg-C,-17.7,K,Deg-C"
"189,11/17/2021,15:23:33,0,-17.9,K,Deg-C,-17.7,K,Deg-C"
"190,11/17/2021,15:23:34,0,-17.9,K,Deg-C,-17.7,K,Deg-C"
"191,11/17/2021,15:23:35,0,-17.9,K,Deg-C,-17.7,K,Deg-C"
"192,11/17/2021,15:23:36,0,-17.9,K,Deg-C,-17.7,K,Deg-C"
"193,11/17/2021,15:23:37,0,-17.9,K,Deg-C,-17.7,K,Deg-C"
"194,11/17/2021,15:23:38,0,-17.9,K,Deg-C,-17.7,K,Deg-C"
"195,11/17/2021,15:23:39,0,-17.9,K,Deg-C,-17.7,K,Deg-C"
